Frame,Time (Seconds),X,Y,Z,X,Y,Z
324,0.900000,1.361507,1.010250,36.549686,1686.529175,5558.813477,1831.067993
325,0.902778,1.362402,1.010552,36.549469,1686.538208,5558.781250,1831.064209
326,0.905556,1.361593,1.009749,36.549488,1686.531372,5558.833984,1831.060059
327,0.908333,1.361762,1.009818,36.549129,1686.542358,5558.839844,1831.055298
328,0.911111,1.362630,1.009938,36.549381,1686.521973,5558.874512,1831.053589
329,0.913889,1.362168,1.010450,36.549877,1686.512573,5558.904297,1831.038086
330,0.916667,1.361717,1.009746,36.550655,1686.530884,5558.904785,1831.033325
331,0.919444,1.361844,1.009444,36.550751,1686.510376,5558.899414,1831.023926
332,0.922222,1.362412,1.010009,36.550442,1686.514038,5558.905762,1831.032471
333,0.925000,,,,,,
334,0.927778,,,,,,
335,0.930556,,,,,,
336,0.933333,1.363027,1.009911,36.550556,1686.528198,5558.903809,1831.081299
337,0.936111,1.362483,1.011049,36.551292,1686.534424,5558.885254,1831.073120
338,0.938889,1.363034,1.010237,36.551712,1686.534790,5558.902344,1831.091431
339,0.941667,1.363881,1.009940,36.551685,1686.531494,5558.910156,1831.092041
340,0.944444,1.363546,1.010977,36.550827,1686.515747,5558.889160,1831.074463
341,0.947222,1.363691,1.009928,36.551483,1686.520142,5558.923340,1831.078003
342,0.950000,1.363574,1.010020,36.551773,1686.525269,5558.936035,1831.066650
343,0.952778,1.363093,1.010420,36.551743,1686.525513,5558.949707,1831.059082
344,0.955556,,,,,,
345,0.958333,,,,,,
346,0.961111,,,,,,
347,0.963889,1.363311,1.010453,36.552357,1686.515137,5558.980469,1831.021729
348,0.966667,1.362982,1.010054,36.552483,1686.524414,5558.977539,1831.040161
349,0.969444,1.363931,1.010982,36.552422,1686.528442,5558.968262,1831.041260
350,0.972222,1.363683,1.011002,36.552814,1686.538940,5558.960938,1831.052368
351,0.975000,1.363894,1.010619,36.552479,1686.537354,5558.954102,1831.067383
352,0.977778,1.363930,1.011298,36.552670,1686.536011,5558.937500,1831.072388
353,0.980556,1.363689,1.011293,36.553402,1686.530151,5558.919434,1831.077637
354,0.983333,1.363907,1.011326,36.552620,1686.535522,5558.941895,1831.066772
355,0.986111,1.364383,1.012153,36.554443,1686.532715,5558.952148,1831.064819
